FEN,Move,ELO,CPL,Is_Cheating,ELO_Range
3r1rk1/pp2qpbp/2pNb1p1/2n1P3/5B2/5B2/PPP2PPP/R2QR1K1 w - - 8 15,d1d4,1002,23,1,1001-1500
3r1rk1/pp2qpbp/2pNb1p1/2n1P3/3Q1B2/5B2/PPP2PPP/R3R1K1 b - - 9 15,c5d7,-1,14,1,
3r1rk1/pp1nqpbp/2pNb1p1/4P3/3Q1B2/5B2/PPP2PPP/R3R1K1 w - - 10 16,a1d1,1002,2,1,1001-1500
3r1rk1/pp1nqpbp/2pNb1p1/4P3/3Q1B2/5B2/PPP2PPP/3RR1K1 b - - 11 16,c6c5,-1,142,0,
3r1rk1/pp1nqpbp/3Nb1p1/2p1P3/3Q1B2/5B2/PPP2PPP/3RR1K1 w - - 0 17,d4e3,1002,6,1,1001-1500
3r1rk1/pp1nqpbp/3Nb1p1/2p1P3/5B2/4QB2/PPP2PPP/3RR1K1 b - - 1 17,b7b6,-1,109,0,
3r1rk1/p2nqpbp/1p1Nb1p1/2p1P3/5B2/4QB2/PPP2PPP/3RR1K1 w - - 0 18,f4g5,1002,15,1,1001-1500
3r1rk1/p2nqpbp/1p1Nb1p1/2p1P1B1/8/4QB2/PPP2PPP/3RR1K1 b - - 1 18,f7f6,-1,2,0,
3r1rk1/p2nq1bp/1p1Nbpp1/2p1P1B1/8/4QB2/PPP2PPP/3RR1K1 w - - 0 19,e5f6,1002,10,1,1001-1500
3r1rk1/p2nq1bp/1p1NbPp1/2p3B1/8/4QB2/PPP2PPP/3RR1K1 b - - 0 19,g7f6,-1,0,0,
3r1rk1/p2nq2p/1p1Nbbp1/2p3B1/8/4QB2/PPP2PPP/3RR1K1 w - - 0 20,f3d5,1002,40,1,1001-1500
3r1rk1/p2nq2p/1p1Nbbp1/2pB2B1/8/4Q3/PPP2PPP/3RR1K1 b - - 1 20,f6g5,-1,13,0,
3r1rk1/p2nq2p/1p1Nb1p1/2pB2b1/8/4Q3/PPP2PPP/3RR1K1 w - - 0 21,e3e6,1002,13,1,1001-1500
3r1rk1/p2nq2p/1p1NQ1p1/2pB2b1/8/8/PPP2PPP/3RR1K1 b - - 0 21,e7e6,-1,11,0,
3r1rk1/p2n3p/1p1Nq1p1/2pB2b1/8/8/PPP2PPP/3RR1K1 w - - 0 22,d5e6,1002,0,1,1001-1500
3r1rk1/p2n3p/1p1NB1p1/2p3b1/8/8/PPP2PPP/3RR1K1 b - - 0 22,g8g7,-1,23,1,
